county,jurisdiction,level,status,action_type,covers,duration_label,duration_days,adopted_date,effective_date,expiration_date,expiration_is_inferred,rationale,source_url,source_org,confidence,in_source_doc,revised_from_source_doc,notes,update_kind,researched_on,change_summary,needs_confirmation,expiration_note
Iredell,City of Statesville,municipal,adopted,moratorium,"acceptance, processing and approval of development applications for data centers",180 days,180,2026-09-14,2026-09-14,2027-03-13,TRUE,"Planning Director Erika Martin noted the development code has no provisions addressing data centers; the pause would let the city review regulations, take community input and determine whether updates are needed.",https://www.wfae.org/politics/2026-09-15/statesville-blocks-new-data-centers-for-six-months,WFAE / WBTV / Iredell Free News,high,TRUE,TRUE,"UPDATE 2026-09-20: the second reading passed unanimously on 2026-09-14 and the moratorium took effect that day; the first reading had passed 2026-08-10. Coverage says 180 days, running through March 2027; no printed end date was published, so 2027-03-13 is arithmetic from 2026-09-14. Does not apply to the already-approved Compass data center on Stamey Farm Road. Iredell County itself has still taken no action.",revised,2026-09-20,Second reading passed 2026-09-14; the 180-day moratorium is now in effect.,,
Brunswick,City of Southport,municipal,adopted,moratorium,new data center approvals while the city writes zoning standards,15 months,456,2026-09-10,,2027-12-10,TRUE,Planning Board directed staff to develop data center land use standards; the moratorium would halt approvals despite no active proposal.,https://www.wect.com/2026/09/10/southport-leaders-unanimously-back-data-center-moratorium/,WECT / Port City Daily,high,FALSE,TRUE,"UPDATE 2026-09-20: the Board of Aldermen voted unanimously on 2026-09-10, on a motion by Mayor Pro Tem Karen Mosteller, after the advertised public hearing. No printed end date was published, so 2027-12-10 is arithmetic (15 months from adoption). Still no data center proposed in the city.",revised,2026-09-20,Adopted unanimously 2026-09-10 after the public hearing; 15 months.,,
Henderson,City of Hendersonville,municipal,adopted,moratorium,"acceptance, processing and approval of development approvals for data centers, cryptomining facilities, server farms and similar high-impact digital infrastructure facilities, including zoning, special use, site plan, building and conditional zoning approvals (per the draft ordinance)",12 months,365,2026-09-03,,2027-09-03,TRUE,"City attorney Angie Beeker said the ordinance 'is outdated and really isn't prepared to address' data centers' water, electricity and noise demands.",https://www.hendersonvillenc.gov/news/council-recap-september-2026,City of Hendersonville agenda packet / NC Data Centers newsletter,medium,FALSE,TRUE,"UPDATE 2026-09-24: the September 3 agenda packet contains the draft ordinance (filed as O-26-28, headed O-26-29 in the text) imposing a temporary moratorium on data center, cryptomining and similar facilities: effective on adoption, expiring 12 months after adoption unless ended earlier, with a staff work plan whose first milestone is November 30, 2026. The council set the hearing at its August 26 meeting. A specialist newsletter reports the ordinance passed unanimously on September 3. Pre-hearing coverage (Hendersonville Times-News, July 23) described up to 12 months. End date is arithmetic. Packet: https://meetings.municode.com/adaHtmlDocument/index?cc=HVLNC&me=367f86a5a01442ae9c6e550a5792e6f2&ip=True . Henderson County itself has taken no action.",revised,2026-09-24,"Reported adopted 2026-09-03 for 12 months; the city's packet has the ordinance, the vote is not in minutes yet.","The city's own agenda and packet confirm the September 3 hearing and the draft ordinance, but the vote itself is reported only by a specialist newsletter. Minutes are not posted; the council's next regular meeting is October 1.",
Cleveland,City of Kings Mountain,municipal,adopted,moratorium,new data centers,"182 days, extended by one year on 2026-08-25",,2026-02-24,,2027-08-25,TRUE,City had received developer inquiries and its unified development ordinance lacked definitions and standards for data centers; council wanted to study water-supply and energy-use impacts.,https://www.qcnews.com/news/u-s/north-carolina/cleveland-county/kings-mountain-votes-to-extend-data-center-moratorium/,Queen City News / North State Journal,medium-high,TRUE,TRUE,"UPDATE 2026-09-20: the extension is confirmed. Council voted on 2026-08-25 to extend the original 182-day moratorium (Ordinance 26-11, adopted 2026-02-24) by one full year; two outlets report the one-year term. The ordinance's printed end date has not been published, so 2027-08-25 is arithmetic from the extension vote. February minutes: https://www.cityofkm.com/AgendaCenter/ViewFile/Minutes/_02242026-934",revised,2026-09-20,Extension confirmed: one year from 2026-08-25.,,
Surry,City of Mount Airy,municipal,adopted,moratorium,new or expanded data centers and cryptocurrency mining in zoned areas,"60 days, extended by 90 days on 2026-09-03 (150 days total)",150,2026-07-16,,2026-12-13,TRUE,"Commissioner Chad Hutchens: 'It's not anti-business. It's being reactive to where it's better for us, and it's better for whoever the developer may be down the road.'",https://www.mtairynews.com/news/planning-board-finalizing-data-center-rules/article_e4187de8-46e6-4dab-b58c-d2976722cd5b.html,The Mount Airy News,medium-high,FALSE,TRUE,"UPDATE 2026-09-24: commissioners extended the 60-day moratorium by 90 days at their September 3 meeting, after the Planning Board asked for more time; The Mount Airy News reported the extension in its coverage of the board's draft rules. Without it the record would have lapsed on the estimated September 14 date. The city has posted the September 3 agenda and packet but not the minutes, and both are scanned images, so no vote tally or printed end date is available; 2026-12-13 is arithmetic (150 days from July 16).",revised,2026-09-24,"Extended by 90 days on 2026-09-03, so it did not lapse in September.",,
McDowell,McDowell County,county,adopted,moratorium,data center development,6 months,181,2026-08-31,,2027-02-28,TRUE,"Residents raised water use, grid demand, noise, air pollution, health effects and the small number of permanent jobs; the county says no data center is approved or pending.",https://www.carolinajournal.com/mcdowell-joins-nc-data-center-pause/,Carolina Journal / McDowell News,high,FALSE,,"NEW ACTION 2026-09-20: commissioners voted unanimously at a special meeting and public hearing on 2026-08-31. Commissioner David Walker proposed six months rather than the 12 the planning board recommended, with the board to revisit rules in February or March 2027. No printed end date published, so 2027-02-28 is arithmetic.",revised,2026-09-20,"Adopted a six-month moratorium 2026-08-31, two days after the snapshot.",,
Nash,Nash County,county,adopted,moratorium,"data centers, data processing facilities and cryptocurrency mining in unincorporated areas",until 2027-06-30 or until new UDO rules are adopted,,2026-09-08,2026-09-08,2027-06-30,FALSE,"To study electricity and water demand, noise, environmental effects and land-use compatibility, and to draft unified development ordinance changes.",https://www.rockymounttelegram.com/news/local/nash-county-enacts-temporary-moratorium-on-data-centers/article_4d5364c9-c321-4c2a-8364-b516b4073cdc.html,Rocky Mount Telegram,high,FALSE,,"NEW ACTION 2026-09-20: unanimous, effective immediately, running until 2027-06-30 or until the county adopts the UDO amendments, whichever comes first. Applies only to unincorporated Nash County; Rocky Mount and other municipalities keep their own authority. The towns of Bailey, Nashville, Spring Hope and Whitakers are separate records in this table.",revised,2026-09-20,"Adopted a moratorium 2026-09-08 for unincorporated areas, through 2027-06-30.",,
Columbus,City of Whiteville,municipal,adopted,moratorium,data centers and cryptocurrency mining,12 months,365,2026-08-25,2026-08-25,2027-08-25,FALSE,"Mayor Terry Mann and council cited water used for cooling, electricity demand and the effect on local resources; no data center has been proposed in the city.",https://www.wect.com/2026/08/26/whiteville-approves-12-month-moratorium-new-data-centers-crypto-mining/,WECT / North State Journal,high,FALSE,,"NEW RECORD 2026-09-20: the council voted 2026-08-25, effective immediately, running to 2027-08-25 or until the city adopts a zoning ordinance text amendment for these uses, whichever comes first. Columbus County itself has taken no action.",new,2026-09-20,"Adopted a 12-month moratorium 2026-08-25, four days before the snapshot.",,
Carteret,Town of Newport,municipal,adopted,moratorium,"permitting of data centers, data processing facilities, cryptocurrency mining and associated uses within the town and its extraterritorial jurisdiction",1 year,365,2026-09-10,,2027-09-10,TRUE,"The town will use the pause to rewrite its unified development ordinance: where such facilities may be permitted, development standards, and rules addressing their impacts.",https://www.publicradioeast.org/2026-09-17/newport-approves-one-year-freeze-on-new-data-centers-and-crypto-mining,Town of Newport meeting notice / Public Radio East / WITN / WCTI / WNCT,medium-high,FALSE,,"NEW RECORD 2026-09-24: the town's own notice for the September 10, 2026 Town Council meeting says it 'will include a Public Hearing to consider a request to enact a 1-year moratorium on the permitting of data centers'. Four outlets reported the approval on September 16 and 17, quoting Town Manager Michele Querry, and the council did not meet again until September 23, so the adoption date is September 10. No tally or printed end date was published; 2027-09-10 is arithmetic. Officials say it is not a permanent prohibition. Carteret County itself has taken no action.",new,2026-09-24,Adopted a one-year moratorium 2026-09-10; the town's meeting notice fixes the date.,,
Burke,Town of Hildebran,municipal,adopted_unverified,moratorium,"development approvals for critical digital infrastructure facilities, the town's term for data centers and crypto mining",12 months,365,2026-08-24,,2027-08-24,TRUE,Residents asked for a pause after DigiPower X bought land near a Duke Energy substation for a proposed AI data center; the town manager advised that a moratorium could run five months to a year while the ordinances are reviewed.,https://www.hildebrannc.com/_files/ugd/36194a_319e1c1e9272465e9e1fd9d20c079d1f.pdf,Town of Hildebran agenda and minutes / NC Data Centers newsletter,medium,FALSE,,"NEW RECORD 2026-09-24: the July 27, 2026 minutes record that council 'was in agreement to begin the process for a twelve-month moratorium'. The August 24 agenda lists a public hearing and 'Consider Approval of Ordinance ... Instituting a Temporary Moratorium on Development Approvals for Critical Digital Infrastructure Facilities', with a presentation by the Poyner Spruill law firm. A specialist newsletter reports unanimous adoption. The September 28 agenda carries no moratorium item. Earlier in 2026 the town adopted permanent rules for these facilities. End date is arithmetic from August 24. Burke County itself has taken no action.",new,2026-09-24,"Reported adopted 2026-08-24 for 12 months; the town's agenda confirms the hearing, the vote is not in minutes yet.","The town's own July 27 minutes and August 24 agenda confirm the council set out to adopt a twelve-month moratorium and held the hearing, but the vote is reported only by a specialist newsletter. August 24 minutes are not posted yet.",
Nash,Town of Nashville,municipal,adopted,moratorium,new data center land uses,12 months,365,2026-08-04,,2027-08-04,TRUE,"To give staff and council time to evaluate water, noise and infrastructure impacts after residents raised concerns about water use.",https://citizenportal.ai/articles/9766392/North-Carolina/Nash-County/Town-of-Nashville/Council-adopts-12month-moratorium-on-data-centers-to-study-local-impacts,Citizen Portal meeting coverage / Rocky Mount Telegram,medium,FALSE,,"NEW RECORD 2026-09-24: meeting coverage of the August 4, 2026 Town Council meeting records that council moved, seconded and carried an ordinance adopting a 12-month moratorium on new data center land uses, with development standards to guide later review, after public hearings in July and August. The Rocky Mount Telegram (September 9) confirms Nashville has a moratorium in place. No tally or printed end date published; 2027-08-04 is arithmetic. Nash County's own moratorium covers only unincorporated areas.",new,2026-09-24,"Adopted a 12-month moratorium 2026-08-04, missed by the snapshot.",,
