county,jurisdiction,level,status,action_type,covers,duration_label,duration_days,adopted_date,effective_date,expiration_date,expiration_is_inferred,rationale,source_url,source_org,confidence,in_source_doc,revised_from_source_doc,notes
Alamance,Alamance County,county,adopted,moratorium,data centers,1 year,365,2026-08-17,,2027-08-17,TRUE,Commissioners wanted time to study and revise zoning/development rules; environmental groups requested time for land-use and water-supply study.,https://alamancenews.com/breaking-mon-night-alamance-county-commissioners-vote-unanimously-for-one-year-moratorium-on-data-centers/,Alamance News / WFMY News 2,high,TRUE,TRUE,Adoption date added (absent from source doc). Unanimous vote. County attorney's draft proposed 6 months; board extended to 12. NC Newsline reported a 24-month proposal going in; 12 months was enacted.
Alexander,Alexander County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Alleghany,Alleghany County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Anson,Anson County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Ashe,Ashe County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Avery,Avery County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Beaufort,Beaufort County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Bertie,Bertie County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Bladen,Bladen County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Brunswick,Brunswick County,county,none,no county-level action found,,,,,,,,,,,medium,TRUE,,Municipality/-ies within the county acted; the county government itself has no moratorium on record as of 2026-08-21.
Brunswick,City of Southport,municipal,pending_vote,proposed moratorium,data centers,15 months (proposed),456,,,,,Planning Board directed staff to develop data center land use standards; the moratorium would halt approvals despite no active proposal.,https://www.wect.com/2026/08/14/public-hearing-set-southport-data-center-moratorium/,WECT,high,FALSE,TRUE,"NOT IN SOURCE DOC. Public hearing 2026-09-10. Second Brunswick County municipality to act, after Boiling Spring Lakes."
